tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000115514	17.2243	27.108	16.6744	15.6277	17.9883	16.3244	19.8193	20.2486	13.8903	14.6649
ENSG00000115520	13.2563	13.8436	9.14425	8.9182	8.4498	7.94491	20.0804	23.8857	9.41672	9.83009
ENSG00000115523	0.0386335	0	0	0.0385137	0.077683	0.0361239	0	0	0.0171912	0.249786
ENSG00000115524	187.246	174.714	199.429	222.411	184	191.316	124.407	124.183	143.727	146.485
ENSG00000115525	2.31365	2.01964	1.34965	2.34241	4.26564	4.07865	5.59613	4.76038	4.0503	8.52576
ENSG00000115526	10.2609	11.6902	7.04019	8.20978	8.79657	8.59831	12.9016	13.2862	9.88557	8.80586
ENSG00000115539	13.1224	16.0782	15.7694	15.1763	11.9195	9.16764	17.4698	13.3834	12.5139	10.619
ENSG00000115540	44.7958	47.6936	50.0337	50.6938	35.8334	41.2955	45.9857	53.92	36.1428	32.7717
ENSG00000115541	376.881	409.441	229.381	168.851	129.396	134.12	175.593	208.883	90.0523	80.3351
ENSG00000115548	29.9564	12.404	34.1054	24.1087	11.7595	11.4495	33.3549	37.8688	25.0799	25.2273
ENSG00000115556	0.13954	0.0243231	0.3212	0.180262	0.399373	0.224667	0.183999	0.236671	0.662226	0.534249
ENSG00000115561	11.708	11.547	12.6298	16.0691	12.2849	10.2135	35.2647	29.8736	43.9823	34.9892
ENSG00000115568	6.32808	8.15036	4.40479	3.8559	6.04606	6.9205	7.42282	7.20215	9.08514	10.7735
ENSG00000115590	0.239795	0.123108	0.0821506	0.066976	0.0180992	0.090417	0.238574	0	0	0.0714042
ENSG00000115592	0	0	0	0	0	0	0	0	0	0
ENSG00000115593	0.0160446	0.0651002	0.0191231	0.00749586	22.029	21.7866	223.912	274.885	248.307	142.066
ENSG00000115594	0.114661	0.0904642	0.324277	0.261104	0.677031	0.525267	0.755747	0.203591	9.8663	15.8952
ENSG00000115596	0	0	0.0753229	0.184496	0.0699875	0.0582799	1.56178	0	0.068107	0.134098
ENSG00000115598	0	0.0195753	0	0.0208628	0.0463639	0	0.0532306	0.0226902	0.473912	0.125862
ENSG00000115602	0	0	1.27937	1.86551	0.0633358	0.12316	0.21118	0.0678944	3.04932	3.08592
ENSG00000115604	0.146966	0.136081	0.76811	1.27819	0.138062	0.179761	0.839037	0.179979	2.8081	3.87269
ENSG00000115607	0.0170839	0	0	0.0171103	0	0	0	0	0.112057	0.10318
ENSG00000115616	0.0454525	0.0611438	0.0329954	0.0259819	0.0333561	0.00598497	0.04052	0.111265	0.13377	0.18394
ENSG00000115641	12.7823	14.5189	7.30697	6.05181	10.0002	10.4602	130.493	242.998	542.845	255.545
ENSG00000115648	4.36082	5.39588	4.77964	3.62389	0.415862	0.248515	0.6623	0.0553159	0.412069	0.681913
ENSG00000115649	12.0124	12.3951	11.6699	12.4486	7.7558	6.51673	25.8545	30.0684	23.1106	16.7155
ENSG00000115652	20.9285	20.1862	15.2604	12.4702	18.2284	18.5534	24.7183	27.9593	15.2731	16.7889
ENSG00000115657	26.5515	18.4628	26.7025	29.0353	7.50701	7.70907	4.04501	11.8757	7.12744	12.5673
ENSG00000115661	9.32995	10.5304	14.8948	15.1775	15.2726	14.3688	18.2038	16.8315	11.8594	8.32564
ENSG00000115665	0	0	0	0	0.034107	0.00704507	0.0982482	0.021408	0.115222	0.489632
ENSG00000115677	110.824	135.047	131.237	145.945	134.218	133.63	142.152	121.041	149.169	158.228
ENSG00000115685	23.1838	27.2944	25.8676	25.2772	21.423	18.9843	40.3562	47.1613	26.1366	17.9687
ENSG00000115687	20.1545	17.1787	15.1538	10.6268	17.6513	24.9102	2.80865	4.20408	5.79496	9.54648
ENSG00000115694	81.1058	93.4517	74.5756	86.1273	87.7088	91.6387	72.3626	81.8872	73.9183	75.4315
ENSG00000115705	0	0	0	0	0	0	0.956583	0.37882	0.0282471	0.09359
ENSG00000115718	0.283633	0.112288	0	0	1.23905	0.985683	0.378129	0	0.051554	0.247934
ENSG00000115738	31.2458	19.9443	33.2704	26.328	194.166	163.333	183.734	185.243	54.4646	57.9099
ENSG00000115750	15.022	16.7915	19.055	18.7043	18.6024	18.7261	8.23036	8.43697	9.56714	14.5889
ENSG00000115756	8.29465	7.22094	6.22499	5.38265	2.76181	2.38292	7.01935	5.89508	6.15027	6.30526
ENSG00000115758	99.5663	121.102	267.993	180.811	114.739	97.1341	99.0348	112.687	51.7573	52.3393
ENSG00000115760	29.3163	22.4074	31.0614	23.2925	29.5357	39.0256	37.2759	31.97	36.5754	52.4546
ENSG00000115761	17.7781	20.0005	14.7058	14.7344	12.6076	12.6591	15.8639	15.5727	12.3146	11.9232
ENSG00000115762	44.8298	48.2162	38.9083	39.4442	36.0467	37.2538	42.7476	44.2839	25.1542	21.7924
ENSG00000115806	34.3153	38.9181	26.0365	23.1675	31.2317	32.096	40.6845	36.0067	25.0643	23.351
ENSG00000115808	14.969	13.8606	11.9209	10.3029	8.31384	7.93147	24.3481	22.6021	46.8912	26.5824
ENSG00000115816	71.5599	77.618	41.8406	40.3415	31.132	34.0098	23.53	27.8987	18.312	15.7598
ENSG00000115825	75.0321	63.7204	61.4202	50.0692	33.2905	35.4774	12.8962	10.6639	20.1455	28.9515
ENSG00000115827	16.2621	13.9763	11.0351	10.321	10.6253	12.7987	6.85282	8.31066	8.5686	10.8368
ENSG00000115828	8.2932	7.17638	30.1266	26.9727	4.12162	3.59805	2.23005	2.08886	3.65686	4.27734
ENSG00000115839	18.0945	18.9492	18.0083	17.9141	14.8598	14.4988	25.132	22.5586	21.2346	19.8163
ENSG00000115840	5.66535	7.27103	4.35969	4.12364	6.80393	5.41631	53.7771	37.8741	46.0847	34.9811
ENSG00000115841	1.44532	2.27717	2.35843	1.5725	2.39054	3.05462	3.17076	2.34581	3.93124	5.24912
ENSG00000115844	0.113441	0.179681	0.648042	0.916078	0.149915	0.0634439	0.528453	0.0687007	0.022833	0.470186
ENSG00000115850	0.0178801	0.00838291	0.0113189	0.0240349	0.0267572	0.012658	0	0.0085917	0.0101509	0.0575103
ENSG00000115866	104.654	70.919	128.835	154.72	57.1081	55.2358	77.396	102.833	49.8671	40.8063
ENSG00000115875	146.142	195.863	118.408	95.5745	121.695	127.441	44.709	47.2341	72.1304	73.143
ENSG00000115884	17.2093	30.7133	10.2165	8.37894	9.73984	11.4355	5.28216	4.61764	4.7805	9.08885
ENSG00000115896	0.0307623	0.0197218	0.129537	0.0943446	0.330494	0.374474	4.75815	3.38473	14.6739	10.653
ENSG00000115902	0.914293	1.18147	0.820624	0.560245	2.51111	1.99251	14.5374	21.6319	15.9569	11.6066
ENSG00000115904	11.7275	9.40989	11.4882	8.84155	14.786	17.4004	17.3108	16.398	23.8129	24.1204
ENSG00000115919	0.148064	0.221856	0.273388	0.282604	1.12186	0.803149	0.110248	0.0583198	0.489619	0.341264
ENSG00000115935	2.57636	2.26245	6.83076	6.11244	10.8837	11.4966	4.55108	4.42947	10.0213	13.8159
