"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NAMPT",1755.78335288599,-1.34501132703782,0.209460674561755,-6.42130714919123,1.35109102034305e-10,2.26448205865021e-08
"LOXL2",3129.94906958955,1.18618426352712,0.185273134793692,6.40235436642216,1.52999044590012e-10,2.53918414394091e-08
"CADPS2",1649.93039265397,-1.61251518035524,0.253770987718308,-6.35421406857262,2.09494927478595e-10,3.44303896345403e-08
"GLS",5434.14924747193,-1.38296343561686,0.218204694581689,-6.33791788150152,2.32890890324306e-10,3.79074710712486e-08
"LINC00968",3413.05721620241,-1.97685223583375,0.312208691789337,-6.33182959931055,2.42270969814463e-10,3.90586950192308e-08
"FAM198B",10282.3001311088,-1.19478207169739,0.189948091257291,-6.2900451580691,3.17373633552039e-10,5.02102884931674e-08
"TCEAL4",5186.03156702149,-1.69411943799877,0.269283676443969,-6.29120732593409,3.15006275690692e-10,5.02102884931674e-08
"TXNRD1",34829.0966500506,-1.66680850510503,0.265070469484701,-6.28817124874497,3.21227457638006e-10,5.0349429656446e-08
"C14orf132",8164.45646327944,1.12135440899845,0.178451761451704,6.283795687284,3.30404876294556e-10,5.13127866597638e-08
"WASF3",2093.25302475142,-1.23509662080889,0.197145283738218,-6.26490574559689,3.73050983267792e-10,5.74091549523381e-08
"MYADM",6727.74144281217,-1.33124480111957,0.212947711741515,-6.25151024273738,4.06502435707892e-10,6.19934525375063e-08
"TGFBR2",21075.490942097,-1.57203305799848,0.251692809898063,-6.24584015187069,4.21528100603766e-10,6.37109614912549e-08
"RPS6KA5",99.8033891681022,2.90510317368166,0.470203758251219,6.17839207514273,6.47577331624857e-10,9.70105227411114e-08
